text,label,words
Częściej podać dziecku pić wodę lub herbatkę z rumianku lub wodę z rozgotowanych płatków owsianych czy nasionek  lnu bez cukru. Zrobić masaź brzuszka rozpoczynając od prawego dołu pachwinowego w górę i poziomo do lewej części brzuszka. Powinno pomóc,Medyczne-diagnoza,38
"Witam wiek dziecka jest zbyt mały by ryzykować odpowiedz bez badania. Zacznijcie Państwo od wizyty u  najbliższego pediatry. Problem zaparć zaczyna być jednym z najczęstszych ostatnio,. a jelito coraz częściej jest postrzegane jako narząd uczestniczący w budowaniu odporności Zachęcam do definitywnego rozwiązania problemu (może probiotyki ?) pozdrawiam",Medyczne-diagnoza,47
"Czopki nie uzależniają. Zaparcie jednak czasami jest trudne do wyleczenia, szczególnie jak są już wprowadzone podstawowe zalecenia dietetyczne. U takiego malucha, może też szybko się nasilić i spowodować nabycie nieprawidłowego wzorca wypróżnień. Wskazana jest wizyta u gastroenterologa dziecięcego, pediatrzy ogólni najczęściej mówią w takiej sytuacji, że samo się poprawi, a to nie zawsze jest prawda.",Medyczne-diagnoza,55
"Witam.Jakiego rodzaju są to problemy? Twardy zbity stolec ?czy może stolce oddawane raz na kilka dni? Czym karmione jest dziecko? Naturalnie czy sztucznie,?Jeśli sztucznie to jaka mieszanka?",Medyczne-diagnoza,27
"Poza postępowaniem dietetycznym które zostało już zastosowane u Państwa dziecka są jeszcze środki farmakologiczne odpowiednie dla wieku danego pacjenta. Jednakże wdrożenie jakiegokolwiek leczenia farmakologicznego powinno być poprzedzone konsultacją lekarską, badaniami dodatkowymi tak aby rozpoznać pierwotną przyczynę zaparć.",Medyczne-diagnoza,37
"Witam PanaMój syn jest po operacji kręgosłupa wykonanej w styczniu br. Musi mieć zrobione echo serca po przebytej operacji. Syn ma 16 lat. Czy jest możliwość wykonania echa serca przez pana w Giżycku ( jesteśmy z Kętrzyna) do 21stycznia 2017 roku? Ewa",Medyczne-diagnoza,43
Nie ma problemu .W Giżycku przyjmuje 14.01.2017.proszę zadzwonić pod numer Villmedu i tam zarejestrować syna .Powinny być miejsca .Gdyby nie było to proszę się powołać na mnie i żeby Panie dopisały do listy,Medyczne-diagnoza,33
"WitamPani w aptece poleciła mi probiotyk Vivomixx podobno dobry jest dla dziecka które często choruje. Ale nie wiem czy mogę go podać bo moja córeczka ma 2,5 roku i czy jest naprawdę skuteczny.",Medyczne-diagnoza,34
"Witam,synek 11,5 miesiąca słabo przybiera na wadze mając 5 miesięcy ważył 8 kg obecnie 8.700.W ciągu dnia oddaje 2-3 luźne stolce.Na skórze suche plamy.Podejrzenie alergii pokarmowej.Syn ma dietę selektywną, nie podaje pomidorów, ryb i owoców małopestkowych .Podaje MM Babilon profutura.Nie wiem co dalej mam robić bo nie ma poprawy?",Medyczne-diagnoza,49
"Dzień dobry,synek na pewno wymaga pogłebionej diagnostyki, też u alergologa.Przybór wagi jest zdecydowanie za mały.Nalezy zmodyfikowac diete, przeanalizowac ile dziecko zjada, byc może zmiany mleka na hydrolizat.PozdrawiamDorota Musiał",Medyczne-diagnoza,31
"Witam serdecznie Czy jest szansa zrobienia echa serca dla 20 miesięcznego dziecka? Pediatra wysłuchał u córki delikatne szmery i zaproponował abyśmy zrobili takie badanie. Jesteśmy z Giżycka i jeśli jest taka możliwość to chcielibyśmy zrobić je tam.",Medyczne-diagnoza,37
"Jakie wysokości ciśnienia powinna mieć dziewczynka 9 lat 141 wzrostu i 34 kg wagi. Przed badaniem strasznie się denerwuje nawet w domu i ciśnienie jest wysokie, co robić???",Medyczne-diagnoza,28
"Mam syna w szpitalu po ataku tężyczki i złym wynikiem ekg. W szpitalu powiedzieli że na kardiologa musimy poczekać 4 dni, syn leży w szpitalu oddalonym od miejsca zamieszkania o 100 km. Moje pytanie czy mogę go przenieść do innego szpitala, gdzie kardiologa będzie miał odrazu i nie będzie musiał tyle czekać. W tym szpitalu powiedzieli że mogę go wypisać tylko na własne żądanie bez skierowania do innej placówki",Medyczne-diagnoza,69
"Syn obecnie przechodzi zapalenie oskrzeli (antybiotyk 6 dzień, brak zmian po dzisiejszej wizycie pediatry). Kiedy można umówić wizytę kardiologiczną wraz z wykonaniem echa serca ? - drugi lekarz stwierdził dziś tę konieczność, synek 6 miesięcy.Dziękuję, pozdrawiam",Medyczne-diagnoza,37
Szanowna PaństwoZ tego co widzę mam dzisiaj wolny termin w przychodni Pratia przy Marymonckiej? Pytanie tylko w jakim stanie jest dziecko i czy jest sens jechać z maluchem dzisiaj?Jeżeli chcecie Państwo dzisiaj to proszę umówić wizytę na godzinę 15:40.Pozdrawiam,Medyczne-diagnoza,42
Mam pytanie: co to może oznaczać jeżeli boli mnie lewa strona klatki piersiowej?Co należy z tym z robić jeżeli ból utrzymuje się od około 7 dni?Pozdrawiam!,Medyczne-diagnoza,27
"Czy te wyniki sa dobre??TSH 4,55 mlU/l 0,27-4,20FT3 3,67 pg/ml 2,00-4,40FT 4 1,23 ng/dl 0,93-1,71ATG <10,0 IU/ml 0,00-115,0ATPO 13 < 34Strasznie bola mnie nogi,pekają pięty mam sucha skórę,zawroty głowy...wybuchy potu",Medyczne-diagnoza,36
"Dzień dobry, proszę skonsultować wyniki wraz z objawami klinicznymi z lekarzem (endokrynologiem). Jeśli występuje problem z utrzymaniem prawidłowej masy ciała sugeruję zmodyfikowanie sposobu żywienia z naciskiem na dietę wspierającą gospodarkę hormonalną (dieta hormonalna).",Medyczne-diagnoza,33
"Problemy, które Pan opisuje mogą być związane z ekspozycją oka na światło niebieskie, które odpowiedzialne jest za przemęczenie wzroku (emitowane przez LED, monitory, ekrany telefonów komórkowych). Sensownym rozwiązaniem byłoby wprowadzenie korekcji z filtrem światła niebieskiego (LED control, Blue Cut, Blue Protect). Wskazana również byłaby konsultacja neurologiczna i badanie VDRL.",Medyczne-diagnoza,49
"Spróbowałabym przeprowadzić również diagnostykę suchego oka. Podane objawy są częściowo objawami astenopii występującej przy nie skorygowanym astygmatyzmie, ale jeżeli twierdzi Pan iż astygmatyzm jest skorygowany i nosi Pan okulary a objawy występują to warto jeszcze sprawdzić stan filmu łzowego.",Medyczne-diagnoza,39
"Od dłuższego czasu mam pewien problem - moje oczy szybko się męczą, po czytaniu albo patrzeniu w telefon zaczynają mnie boleć mięśnie oczu, czuję zawroty. Uczucie kołysania nie występuje gdy patrze na coś co jest blisko, ale gdy przestaję skupiać wzrok i patrzę w dal odczuwam zawroty i kołysanie obrazu. Jestem krótkowidzem (OP -5.0, OL -4,5), ale od kilku miesięcy nie noszę okularów. Czy to może być przyczyną tych dolegliwości?",Medyczne-diagnoza,70
Jak najbardziej może być to przyczyną dolegliwości. Przy krótkowzroczności wskazane jest noszenie korekcji okularowej lub soczewek kontaktowych. Dobrze byłoby zgłosić się na badanie kontrolne. Jaki był powód zaprzestania noszenia korekcji?,Medyczne-diagnoza,30
"Nienoszenie korekcji optycznej przy takiej wadzie wzroku nie ma żadnego istotnego uzasadnienia. Co sprawiło, że korekcja nie jest używana?Oprócz ww. powodów, wymienionych przez koleżanki, dodalbym jeszcze jeden: niewyraźne widzenie to duże utrudnienie dla mózgu w dokładnym ustawieniu oczu na rzecz, na którą Pani patrzy, co może prowadzić do chwilowego dwojenia, problemow z lokalizacją i w konsekwencji zawrotów głowy.Oprócz doboru odpowiedniej korekcji u Optometrysta proponuję też sprawdzić widzenie obuoczne.",Medyczne-diagnoza,70
"Brak noszenia korekcji spowoduje nieprawidłowe ustawienie oczu,co zniekształci obraz otoczenia. Dodatkowo zaburzy działanie układu utrzymania równowagi oczy - uszy - mózg, stąd będą zawroty głowy. Dodatkowo nienoszenie tak dużej korekcji zwykle utrudnia badania w gabinecie właśnie ze względu na adaptacje do wymienionych wcześniej zaburzeń. Wskazane byłoby badanie i nastawienie się na sytuację, że może nie udać się dobrać idealnie korekcję wady, ale i tak jest to lepsze rozwiązanie.",Medyczne-diagnoza,68
"Czy lekarz optometrysta może wystawić zwolnienie z lekcji wf? Nie chodzę do okulisty od kilku lat, ponieważ w mojej okolicy nie mogłam trafić na kogoś kto potrafiłby dobrze zbadać mi wzrok. Mam dosyć poważna wadę -6.5 Bez okularów ciężko jest mi cokolwiek zrobić. Soczewek niestety nie mogę nosić.",Medyczne-diagnoza,48
Optometrysta nie jest lekarzem i nie zastąpi okulisty. Po korekcję oczywiście warto udać się do optometrysty (który również dobierze korekcję do oprawy sportowej). Zwłaszcza przy wysokiej krótkowzroczności zaleca się badania dna oka (badanie okulistyczne) min. raz na 2 lata. Pozdrawiam,Medyczne-diagnoza,40
"Witam, ten typ niedogodnień w zwiazku z posiadanymi nowymi okularami progresywnymi nie jest niepokojący. W soczewkach okularowych wieloogniskowych występuje więcej aberacji (zniekształceń) obrazu co generuje w/w efekty. Jeśli do trzech tygodni, mimo ciągłego noszenia okularów, te uciążliwe zjawiska nie miną, proszę zgłosić się ponownie do optyka,Pozdrawiam",Medyczne-diagnoza,47
"Córka dostała receptę na okulary OP +0,5 OL +0,5 źrenice 54/55, przy czym przy zakupie optometrysta doradza zakup OP +0,5 cylinder -0,5 oś 10, OL +0,75 cylinder -0,25 oś 30, córka miała wcześniejsze okulary z cylindrem , teraz recepta jest bez. Jakie okulary wybrać, a może coś pośredniego?",Medyczne-diagnoza,48
"Witam, jeśli ma pan dylemat co do wyboru recepty okularowej dla córki, wybrałabym moce z badania po rozszerzeniu źrenic, o ile było to wykonywane. Jest to wynik badania najbardziej miarodajny z uwagi na brak możliwości wpływu akomodacji dziecka na badanie.Pozdrawiam",Medyczne-diagnoza,41
"Witam, proces adaptacji do nowej korekcji okularowej, zwłaszcza progresjii, może potrwać kilka tygodniu, w zależności od predyspozycji. Radziłabym na spokojnie pofunkcjonować w okularach w okolicach 3 tygodni. Jeśli objawy nie ustąpią proszę zgłosić się na ponową wizytę.",Medyczne-diagnoza,37
"Witam, oczywiście jest możliwość doboru w/w korekcji do opraw sportowych, jednakże będzie się to wiązać z wiekszymi aberacjami (zniekształceniami) obrazu. Nie rozważała Pani soczewek kontaktowych dla syna?pozdrawiam",Medyczne-diagnoza,28
"Witam, moje pytanie jest związane ze wzrokiem.Mam 24 lata,jestem kobietą, mam astygmatyzm:Prawe oko: sfera:-0.5, cylinder: -3.5, oś 175, PD 29.5, wysokość 18, visus 0.5Lewe oko: sfera:-0.5, cylinder :-2, oś 170, PD 33.5, wysokość 18, visus 0.5Czy jest jeszcze szansa na zniwelowanie wady za pomocą okularów korekcyjnych?",Medyczne-diagnoza,50
"witam, w/w wadę wzroku może Pani korygować na wiele sposobów, m.in: okulary korekcyjne, soczewki kontaktowe twarde lub miękkie albo poddać się konsultacji w sprawie usunięcia tej wady lasem.pozdrawiam",Medyczne-diagnoza,29
Wczoraj Zaczęłam nosić okulary -0. 75 oraz cylinder +0.5 i +0.75 . Wydaje mi się że siedzę na górce a wszystko obok gdy patrzę w dół to zjeżdża w dół. Trawnik zza okna wydaje się strasznie wysoko. Firanki są pochylone tak że wyglądają jakby lewitowały. Telewizor też jest pochylony w tył. I wszystko na co patrzę z takiej średniej odległości. Proszę o pomoc czy coś nie tak z okularami. Co robić,Medyczne-diagnoza,71
"witam, proszę spróbować pofunkcjonować w okularach przynajmniej 2 tygodnie. Przy korekcji cylindrycznej takie zjawiska mogą mieć miejsce. Jeśli dolegliwości po 2 tyg nie ustąpią proszę zgłosić się ponownie do optyka.Pozdrawiam",Medyczne-diagnoza,31
"Duphaston jak każdy leka ma swoje objawy uboczne i przeciwskazania. Jednak z tego co mi wiadomo jest to standardowe leczenie w przypadku zatrzymania miesiączki. Dość bezpieczne. Najlepiej aby się Pani skonsultowała ponownie w tej sprawie z lekarzem, który badał córkę.",Medyczne-diagnoza,40
"Olejek z oregano w dużej ilości rozrzedza krew. Dlatego w tym przypadku pacjent powinien robić to za zgodą lekarza, który leki przepisał. Optymalnie kontrolując wskaźniki krzepnięcia.",Medyczne-diagnoza,26
"Dzień dobry,Olejek lebiodkowy zażywany w większych dawkach przez określony czas wykazywał w badaniach naukowych aktywność przeciwzakrzepową. Można go zażywać, w rozsądnych ilościach. Tym bardziej, że jego dobroczynne działanie lecznicze było wykorzystywane od wieków. Piśmiennictwo fachowe nie podają w tym temacie szczególnych przeciwskazań.Pozdrawiam",Medyczne-diagnoza,44
"Olejek Oregano przyjmowany doustnie możne w niewielkim stopniu wpłynąć na obniżenie krzepliwości krwi. Wszystko zależy od tego jakie leki przeciwzakrzepowe są przyjmowane, w jakich dawkach, jak długo, jakie jest wskazanie do ich stosowania i jakie są ewentualne choroby współistniejące. Spektrum wskazań do w/w leków jest dość duże i leki różnią się bardzo miedzy sobą w profilu bezpieczeństwa. Decyzja zależy od zbyt wielu zmiennych aby dać jednoznaczna opowiedz na postawione pytanie bez oceny stanu klinicznego.",Medyczne-diagnoza,74
"Składniki olejku oregano - wg badań - rozrzedzają krew. Dlatego przeciwwskazaniem do jego stosowania jest okres poprzedzający zabiegi chirurgiczne, natomiast w przypadku leków przeciwzakrzepowych, należy koniecznie skonsultować się z lekarzem prowadzącym, ponieważ istnieje ryzyko krwawień. Olejek z oregano, mimo swoich niezaprzeczalnych wartości, nie jest surowcem ani uniwersalnym ani niezastąpionym. Zapraszam do kontaktu.",Medyczne-diagnoza,52
"Zostały zidentyfikowane geny które wiążą się z predyspozycją do zespołu nerczycowego. Nie jestem w stanie Pani odpowiedzieć jaka jest dostępność tego typu badań w Polsce. Badania genetyczne zwykle są bardzo drogie, dlatego warto uzyskać skierowanie od lekarza POZ i znaleźć poradnię genetyczną z umową z NFZ. W Łodzi to będzie na pewno CZMP, NZOZ Genos i poradnia w Centrum Kliniczno-Dydaktycznym na Pomorskiej.",Medyczne-diagnoza,62
"istnieją testy genetyczne w celu identyfikacji konkretnej choroby (dziecko może mieć gen chorobowy, ale nigdy nie chorować)Dokładne porady dotyczące analizy Pani moge uzyskać tylko konsultacje genetyczne, bo to są skomplikowane  badania",Medyczne-diagnoza,32
"Mam 23 lata i 3 poronienia za sobą, zrobiliśmy badania kariotypu. Męża wyszedł prawidłowy, mój: 46,XX,inv(3)(p11.2q12)Komentarz: W jednym z chromosomów pary 3 występuje inwersja pericentryczna obejmująca rejon heterochromatyny. Jest to polimorfizm tego chromosomu.Jakiś czas temu wyszła mi mutacja MTHFR, może mieć to związek?Pozdrawiam serdecznie",Medyczne-diagnoza,47
"Polimorfizm jest wariantem normy.natomiast jeśli chodzi o MTHFR to zależy czy ma Pani jedną mutację (tzw układ heterozygotyczny) czy dwie mutacje (układ homozygotyczny). Pierwszy przypadek nie wymaga leczenia, drugi zwykle wymaga suplementacji nieprzyswajalną postacią kwasu foliowego (metafoliną) i czasem leczeniem przeciwzakrzepowym w ciąży. warto zbadać poziom homocysteiny.",Medyczne-diagnoza,48
"Suplementuje się w sytuacji gdy mutacje /polimorfizmy genu MTHFR występują w układzie homozygotycznym (czyli obydwa geny są nieprawidłowe).Wariant 4G/5G genu PAI-1 jest normą, nie wymaga leczenia",Medyczne-diagnoza,27
"Chcialabym sie dowiedziec na temat odczytania wyniku genetycznego dotyczacego kariotypu. Wynik : 46,XX,t(2;14)(q34;q32.3) Co to wogole oznacza czy to jakas choroba? Dodam ze wizyte mamy dopiero w maju.",Medyczne-diagnoza,28
"WitamTo nie jest choroba.Jest to informacja zawarta w materiale biologicznym ciała. Pani tylko nośnik tej informacji. Ale, przyszły ojciec dziecka będzie mieć podobne informacje, istnieje ryzyko urodzenia chorego dziecka na niektóre choroby",Medyczne-diagnoza,34
"Jestem w 13 tyg ciąży, od początku brałam kwas foliowy jednak zorientowałam się teraz że była to dawka 0,2 mg kwasu foliowego, a zalecana dawka w ciąży jest 0,4. Proszę o odp. czy ta mała dawka ma wpływ na zabezpieczenie dziecka przed wadami cewy nerwowej, czy poprostu jest to tak jak bym w ogóle nie brała kwasu foliowego?",Medyczne-diagnoza,58
"WitamTo nie znaczy, że dziecko jest chore. Sugeruje to, że dziewczynka może przenosić w swoim materiale genetycznym takie choroby, jak: choroba Alzheimera, choroba Krabe, zespół Nimana-Picka i niedobór alfa-1-antytryptazyny. Jeśli jej przyszły mąż będzie nosić ten sam materiał genetyczny, narodziny chorych dzieci będą wzrastać",Medyczne-diagnoza,45
"Zdiagnozowano u mojego dziecka. 11 tydzień ciąży wytrzewienie jelit. Brak akcji serce. Czeka mnie zabieg usunięcia ciąży. Jestem po 35 roku życia. Czy ryzyko wystąpienia takich wad w kolejnej ciąży jest wysokie? Czy są jakieś badania, które mogę wykonać, żeby mieć pewność bo kolejnego takiego bólu jaki przechodzę nie zniose przy kolejnej ciąży jeśli miałoby się okazać że również będzie coś nie tak i będą wskazania do usunięcia ciąży. Mieszkam poza granicami kraju.",Medyczne-diagnoza,73
"Witam,od pół roku stosuję antykoncepcje hormonalną, jednak żadne z 3 opakowań leków (Novynette, Belara, Mercilon) nie okazał się dla mnie najlepszym wyborem z powodu depresji i bardzo bolesnych miesiączek. Czy istnieje jakieś badanie, które mógłby wykonać mi lekarz aby skuteczniej dobrać antykoncepcje? Chciałabym pozostać przy tabletkach, bowiem krążki oraz plastry są dla mnie zbyt drogą antykoncepcją.Pozdrawiam serdecznie",Medyczne-diagnoza,58
"Po to żeby ocenić czy leki antykoncepcyjne są dobrze tolerowane, konieczne jest przynajmniej jeden rodzaj stosować regularnie przez 2 miesiące.Jeżeli są dodatkowe choroby / depresja czy choroby tarczycy/ to należy u innych specjalistów odbyć wizytę.",Medyczne-diagnoza,35
Witam! Niestety wbrew obiegowej opinii nie ma badań ( hormonalnych ) które ułatwiłyby dobór tabletki : nie pozostaje nic innego jak próbować nadal ustalić optymalny lek z Pani lekarzem pozdrawiam,Medyczne-diagnoza,30
"Droga Pani. Według mojej wiedzy nie ma badania, które by spersonalizowało antykoncepcję. rozumiem, że zmieniała Pani tabletki co 2 miesiące. Czasami bywa to za krótki okres na akceptację przez organizm nowego preparatu. Sądzę, że należało by przedyskutować z lekarzem prowadzącym potencjalne inne przyczyny występujących w trakcie antykoncepcji dolegliwości. Pozdrawiam",Medyczne-diagnoza,49
"Przed rozpoczęciem antykoncepcji należy oznaczyć morfologię, APTT, ASPAT , ALAT, d-dimery. Rodzaj tabletek powinien być dobrany w zależności od wywiadu dotyczącego cykli i badania przedmiotowego. Często należy kilkukrotnie zmienić tabletki  by dobrać te odpowiednie. Środki antykoncepcyjne powodują, że miesiączki są mniej bolesne, krótsze. W związku z depresją wskazana jest konsultacja psychiatryczna  ewentualnie wisyta u psychologa. Pozdrawiam",Medyczne-diagnoza,56
"dziękuję za pytanie!jeśli badania hormonalne, zwłaszcza hormonów płciowych, nie wykazały nieprawidłowości to badania genetyczne jak najbardziej są uzasadnione. Niestety bez zbadania Pani nie mogę powiedzieć w jak szczegółowym zakresie - czy obejmujące analizę chromosomów czy już konkretnego genu/ów. Wskazana byłaby wizyta w poradnia genetycznej.Pozdrawiam!",Medyczne-diagnoza,46
"Witam czy mój gen jest grożny dla zajścia w ciąże bo wgl nie mogę zajść, i słyszałam że trzeba brać bardziej kwas foliowy metylowany i b12 i wszystkie wit w grupy b ,ale jaki preparat jest lepszy ?",Medyczne-diagnoza,38
"Dziękuję za pytanie!nie wiem dokładnie jaki jest wynik Pani badania to nie mogę precyzyjnie odpowiedzieć. Ogólnie, przez okres 3 miesięcy przed zajściem w ciążę powinna Pani przyjmować kwas foliowy w dawce 0,4 mg (ta sama dawka dla formy zmetylowanej).",Medyczne-diagnoza,40
"WitamLepiej Mg B6 i osobno Folic acid, ale ....zalecane- istnieć testy genetyczne na niepłodność zarówno mężczyzn jak i kobiet. Biorąc tylko witaminy nic nie da",Medyczne-diagnoza,28
Witam serdecznie.Proszę o załączenie wyniku badania HRCT kości skroniowych oraz w badań audiologicznych - po ocenie klinicznej istnieje możliwość ukierunkowania dalszego leczenia.Marcin Daroszewski - laryngolog-bydgoszcz.pl,Medyczne-diagnoza,27
"Dzień dobry.od dwóch tygodni doskwiera mi ból lewej strony szyi, który promieniuje po szczęce do ucha. Nie wiem czy jest to wina np. węzłów chłonnych? Do jakiego lekarza powinnam się udać, aby to skonsultować?",Medyczne-diagnoza,35
Mój 5 letni wnuk ma wysiękowe zapalenie ucha środkowego. Mieszka w Szkocji i tam lekarze proponują zabieg. Prawdopodobnie w Polsce można to wyleczyć farmakologicznie- czy tak jest w rzeczywistości? Proszę o odpowiedż.,Medyczne-diagnoza,32
"WitamZwykle podejmuje się próby takiego leczenia (leki przeciwalergiczne, donosowy glikokortykosteryd). Ponownie przeprowadza się badanie po 3 miesiącach i decyduje o leczeniu operacyjnym. PozdrawiamAgata Gierlotka",Medyczne-diagnoza,26
"Wszystko zależy od stanu ogólnego Pani wnuka,jak dziecko słyszy?Czy był wykonany audiogram i tympanogram?Jak się rozwija?A przede wszystkim jak prezentują się jego błony bębenkowe w badaniu otorynolaryngologicznym. Zanim podejmiecie Państwo decyzję,proszę skonsultować dziecko osobiście.",Medyczne-diagnoza,34
"Witam serdecznie. Wszystko zalezy od wynikow badań - wowczas mozna ukierunkowac postępowanie terapeutyczne, trwa około 12 tyg .W przypadku pytań / wątpliwości służę pomocą. Marcin Daroszewski - laryngolog-bydgoszcz.pl znany.lekarz.pl",Medyczne-diagnoza,30
Zachowawcze leczenie wysiękowego zapalenia ucha środkowego powinno trwać do 3 miesięcy. Jeżeli w badaniu tympanometrycznym potwierdza się diagnoza to należy dokonać tympanopunkcji z poadowieniem dreników. Najczęściej również operujemy migdałek gardłowy.,Medyczne-diagnoza,30
"Prawdopodobnie córka ma przewlekły niezyt trąbek słuchowych ( najczestrzym powodem jest alergia, przewlekłev zapalenie zato i lub przerost migdałka gardłowego0) zablokowanie ujść gradłowych trąbek słuchowych sprzyja okresowym stanom zapalnym uszu ( z bólem) oraz okresowa poprawą lub pogorszeniem słuchu . Jeśli Pani ma w domu to w zależności od wagi córki pomóc może lek przeciwalergiczny oraz krople do nosa obkurczajace sluzówkę lub lepiej steryd donosowy w aerozolu do nosa 2xdziennie",Medyczne-diagnoza,70
"Dwa dni temu wypadła mi zakrętka kolczyka w uchu( chrząstka wewnątrz ucha) Zauważyłam to dopiero w lusterku i nie wychwyciłam momentu samego wypadnięcia. Czy jest możliwe ze zakrętka wpadła mi do środka ucha, dodam ze czuje lekki ucisk, ale często tak mam. Czy udać się na pogotowie w celu ustalenia czy ciało obce znajduje się w środku ucha ?",Medyczne-diagnoza,59
Wynik rezonansu podejrzenie gruczolaka. Na wyniku biopsji na pierwszym rozmazie bezpostaciowa amfochlonna substancja i pojedyncze limfocyty.W drugim rozmazie elementy morfotyczne krwi ze zwiększoną ilością limfocytów.Obraz cytologiczny niespecyniczny.Co to oznaza co mam w sliniance.,Medyczne-diagnoza,33
"Witam,W przypadku guzów ślinianki biopsja ma niewielkie znaczenie diagnostyczne gdyż może dawać mylne wyniki co do jego charakteru i ewentualnej złośliwości. Guz ślinianki powinno się usunąć  w całości a następnie przebadać go histopatologiczne. pozdrawiamAlicja Koszel-Orłowskaspecjalista otolaryngolog",Medyczne-diagnoza,39
"co może być przyczyną słyszenia w uchu u mnie lewym dosłownie ""bicia swego serca"" usg żył jest prawidłowe, laryngolog uchu nic nie stwierdził, kardiologicznie i stomatologicznie wszystko ok",Medyczne-diagnoza,28
"Witam, powodem takich dolegliwości może być zapalenie ucha środkowego, zapalenie ucha zewnętrznego lub długo zalegająca woskowina powodująca odczyn zapalny ze strony przewodu słuchowego zewnetrznego. W każdym przypadku konieczna jest wizyta u laryngologa.PozdrawiamAlicja Koszel-Orłowskaspecjalista otolaryngolog",Medyczne-diagnoza,37
