text,label
"wspolszczytno Akcja policjantów w walce z COVID-19 Koronawirus nie omija nikogo, również środowiska policyjnego.Pomimo wielu obostrzeń również w WSPol w Szczytnie zdarzyły się przypadki osób zarażonych wirusem SARS-CoV-2 Przeczytaj więcej na stronie WSPol    ",Medyczne
"Trwa okres przeziębień, grypy i katarów, dlatego warto uodpornić się za pomocą wizyt w saunie. Jeśli nie mamy własnej sauny i korzystamy z publicznych, wybierz damski strój na saunę dający swobodę ruchów oraz pełny komfort! Oto bawełniany strój Asili    ",Remis-sporny
"Laura ma tylko 18 miesięcy. Cierpi na SMA. By ją leczyć potrzebna jest terapia genowa, która kosztuje blisko 8 milionów. Jak pomóc? Opcje są 2: - udział w licytacji meczowej koszulki :   - wpłaty na   Nie bądźcie obojętni!  ",Remis-sporny
Covid_19 zniszczył szpik 6-letniej Hani. W kwietniu tego roku zdiagnozowano u niej zakażenie COVID-19. Po m-cu diagnoza–aplazja szpiku kostnego wywołana wirusem. Lekarze zakwalifikowali ją do przeszczepienia szpiku.Dawca szpiku to jedyny ratunek dla Hani!    ,Medyczne-diagnoza
"Kolejny przejaw bezczelności KO   : Opozycja twierdzi, że PiS przeznacza zbyt mało pieniędzy na walkę z nowotworami. Tymczasem za rządów koalicji PO-PSL,  pięciokrotnie głosowała przeciwko zwiększeniu wydatków na onkologię      ",Niemedyczny
Kancelaria Sejmu weryfikuje podpisy pod projektem ustawy znoszącej obowiązek szczepień! 120 tysięcy podpisów przeciw szczepionkom! Powariowali! Chcą nas cofnąć o 200 lat! Szczepionki to najsilniejsza broń w medycynie!  Zabacz materiał wideo!!! Polska UE     ,Medyczne
8.07.1869 na Wawelu odbył się powtórny pogrzeb króla Kazimierza III Wielkiego.Komisja badająca szczątki monarchy stwierdziła złamanie lewej   podczas polowania na jelenia spadł z konia i doznał   śmierci pozostał w wysokiej gorączce.  ,Medyczne
"Czwartkowe bum i po rekordach Polacy świętowali, a Amerykanie  w panice wysprzedawali akcje. Główne indeksy przy Wall Street w ciągu jednej sesji potraciły po około 6 proc. Teraz cały świat zastanawia się jak głośno będzie kichał po amerykańskiej gorączce.    ",Niemedyczny
"O CRISPR myślimy jako: edytowaniu komarów, aby nie rozprzestrzeniały malarii, pomidorów, by były bardziej aromatyczne czy leczeniu chorób genetycznych. Teraz to także bakterie stosowane przeciwko sobie lub przeciwko wirusom | Is Crispr the Next Antibiotic?    ",Medyczne
"W związku z doniesieniami duńskich służb wet. nt. wykrycia u norek SARS-CoV-2, minister  zlecił Głównemu Lekarzowi Weterynarii przeprowadzenie badań w kierunku możliwości występowania tego wirusa u norek na fermach w różnych regionach Polski   ",Medyczne
"Adwent jest synonimem nadziei: nie daremnym oczekiwaniem na jakiegoś bezosobowego boga, lecz konkretną i niezawodną ufnością w powrót Tego, który już raz do nas przyszedł, «Oblubieńca», który swoją krwią przypieczętował zawarte z ludzkością wieczne przymierze (św. Jan Paweł II).  ",Niemedyczny
"W prawdopodobnej administracji Bidena szefem dyplomacji ma być Anthony Blinken. Tak jak sam były wiceprezydent, Blinken to kość z kości i krew z krwi z establishmentu. Zajmował wysokie stanowiska przez 8 lat prezydentury Obamy, był też doradcą kampanii Bidena ds.międzynarodowych.  ",Niemedyczny
"Szpitale w Czechach mogą przyjąć pacjentów chorych na Covid-19, także w ciężkim stanie, z innych państw - powiedział w piątek minister zdrowia Jan Blatny. Dodał, że poinformował o tym ministerstwo spraw zagranicznych. Pacjenci mogliby trafić do klinik w Pradze i Brnie.  gloslive  ",Medyczne
"Gratulujemy R. Rakowi Literackiej Nagrody Nike 2020. W tym roku nagroda dla nas szczególna. Fantastyka, która przewiduje. Najpiękniejszy z gatunków. Lem w twórczości wielokrotnie nawiązywał do swego wykształcenia medycznego. Podobne zabiegi możemy dostrzec u dzisiejszego laureata  ",Niemedyczny
"Covidowy minister Niedzielski: - teleporady - wyszczepienie 31 mln Polaków - maseczki nie znikną nawet po epidemii -  nie brało udziału w pracach nad szpitalem na Narodowym - ferie w domu - SMS wskaże badanego - Weszliśmy w niższy przedział zakażeń, ale grozi nam 3 fala  ",Niejednoznaczny
"Premier : Ta wojna z wirusem nie skończyła się jeszcze, ale państwo polskie może obiecać jedno - na pewno nie pozostawimy przedsiębiorców i pracowników samym sobie. Będziemy robić wszystko dla ratowania miejsc pracy i potencjału gospodarczego polskich przedsiębiorców.  ",Niemedyczny
"16 listopada 2017 ruszyła akcja: STOP NOWOTWOROM, która dotyczy profilaktyki nowotworowej. Polecamy Państwu nasze nowe usługi: - profilaktyka nowotworów przewodu pokarmowego  - profilaktyka raka szyjki macicy - tel: 32 345 21 33 - profilaktyka raka prostaty Prosimy dbać o siebie!  ",Medyczne
"Produkty pszczele propolis, nalewka z osypu pszczół bardzo dobra dla osób z nowotworami, dzięki, propolis ma silne działanie na wirusy dzięki wam i rozwojowi mojej pasieki będę miał szansę zwiększenia produkcji naturalnych produktów dostępnych w sprzedaży    ",Medyczne
Wykrycie nowotworu we wczesnym stadium zwiększa szanse na wyleczenie. Jak zaplanować w ciągu roku kalendarz badań profilaktycznych dla całej rodziny? Odpowiedź m. in. na to pytanie dziś o godz. 17.40 i 17.50 w audycji w ramach kampanii społecznej  „Planuję długie życie”  ,Medyczne
"Jak Wy nic nie rozumiecie! Narodowy to jest POMNIK Matoł-usza troskliwego i jego bandy! A jako taki jest EKSKLUZYWNY i nie dla byle kogo! Dlatego wczoraj zajętych było aż ...35 łóżek. Przed ZWYKYMI szpitalami kolejki karetek rosną, ludzie w umierają. To jest program LUDOBÓJSTWO+!  ",Niemedyczny
"Poznaj niezwykłe historie zwykłych ludzi, którzy zdecydowali się wejść na Everest! Do księgarni trafiła właśnie książka Magdy Lassoty ""W cieniu Everestu"", którą polecają Janusz Majer i Krzysztof Wielicki. To opowieść o wspinaczach-amatorach, ale też lekarzach czy szerpach. Warto!  ",Niemedyczny
" zakupił dla Polaków 31 mln szczepionek  Jednak producent nie będzie odpowiadał za powikłania po niej.jak Reakcja na zastrzyk powstała po szczepionce COVID19 firmy Pfizer/BioNTech""dramatyczne powikłania poszczepienne po dobrowolnym szczepieniu przez kobietę  Australii  ",Medyczne
Kpina  Chiny jakoś poradziły sobie bez szczepionki Tajwan ogłosił zero zakażeń a Ty straszysz teraz Polaków szczepionkami  przestań kłamać w sprawie zwykłej grypy a będzie normalność  bawicie się w doktora Mengele tylko teraz w białych rękawiczkach  szczepionka w 7 miesięcy kpina  ,Medyczne
"JarosławPinkas „Nie leczcie się u partaczów(...) u znachorów, bab i felczerów, nie marnujcie waszego zdrowia” - tak brzmiał artykuł w 1919. Czy temat ten nie mógłby być poruszony obecnie?  na Radzie Naukowej przy  przestawił historie służb sanitarnych w Polsce  ",Niemedyczny
"Prof. Romuald Krajewski dla : Te działania różnego rodzaju magików i znachorów nadal istnieją, jest też na nie zapotrzebowanie. Natomiast wszystkie ostrzeżenia, żeby bardzo uważać na tego rodzaju metody pozostają aktualne. CZY UZDROWICIELE I ZNACHORZY ZABIJAJĄ CHORYCH?  ",Niejednoznaczny
".: PMM zamiast tworzyć kolejne prezentacje w PowerPoincie z których ma wynikać, że rząd robi wszystko i nasz kraj miewa się świetnie, mógłby pochylić się nad problemami branży gastronomicznej, nad lekarzami, ratownikami, bo tutaj ta pomoc jest dalece niewystarczająca.  ",Niemedyczny
podobno służba zdrowia leży. Przychodnie w stanie rozkładu... Moje doświadczenie z Warszawy - Pacjentka 88 lat; I stopień niepełnosprawności -  19.11. skierowanie od lekarza I kontaktu. do nefrologa /cito/; 20.11. tel.kontakt z poradnią nefrologiczną; 24.11. wizyta u specjalisty;  ,Remis-sporny
"Dziś w programie powiemy o dronowym moście powietrznym między szpitalami na  i , nowej akcji , zajrzymy na początek procesu beatyfikacyjnego s. Wandy Boniszewskiej oraz na Bazar Różyckiego, który już na finiszu remontu. Zapraszamy 16:00-18:30.  ",Niemedyczny
"Do 10 lat więzienia grozi lekarzowi z Lodz, który brał łapówki i wystawiał fikcyjne zwolnienia. Bez badania pacjenta wypisywał też zaświadczenia o niezdolności do udziału w czynnościach przed sądem. Brał za to m. in. pieniądze, alkohol czy perfumy     ",Niemedyczny
"Woda mineralna, ręczniki papierowe czy mydło w płynie znalazły się wśród darów, które żołnierze 12. Brygady Zmechanizowanej przekazali we szczecińskiemu szpitalowi zakaźnemu. W zbiórkę włączyli się także mieszkańcy– przedmioty pierwszej potrzeby wypełniły dwie wojskowe ciężarówki  ",Niemedyczny
"Rok od momentu, gdy dowiedzieliśmy się że Pan  nie dostał się do sejmu. Obiecał ciężką pracę i ostatnie 12 miesięcy pokazały, że trzeba po prostu bić brawo Panu doktorowi. Pomimo wielu przeciwności losu udało mu się systematycznie rozpowszechniać wolnościowe idee.  ",Niemedyczny
"Jutro Św.Teresy od Iezusa. Doktora Koś. Na studiach najdłużej Dogmatyki uczył mnie 5 lat Ks.dr F Dylus/studiował  na KUlu i we Francji/. Mówił o powstaniu naukowej mistyki dzięki Hiszpańskim Doktorom Mistycznym Św. Teresie i Św.Jan od Krzyża. Czytał ich Bergson,Edyta Stein i inni  ",Niemedyczny
"Oddaliśmy krew i osocze! Wierzymy, że nasza pomoc przyniesie choć odrobinę dobra w walce z koronawirusem! Wszystkich zachęcamy do oddania krwi, a tych z Was, którzy przeszli już zakażenie wirusem, do oddania osocza - jest naprawdę potrzebne!     hydrotruck  ",Medyczne
"Oddałem dziś osocze, by ratować innych. Spostrzegawczych, którzy dopatrzyli się uchylonej maseczki informuję, że zgodnie z zaleceniem lekarza musiałem ją chwilowo lekko zsunąć. Różnie bywa. Pomimo tego naprawdę warto! Zachęcam Państwa do oddawania osocza, ono rzeczywiście pomaga!  ",Medyczne-diagnoza
"6.09.1937 ur. się Jerzy Bińczyckiwspaniały polski aktor. Zm. w 1998. Noce i dnie, Znachor, Ucieczka z kina Wolność, Szpital przemienienia, Dreszcze, Pan Tadeusz, Magnat, Ferdydurke, Życie rodzinne, Dagny i inne. Doskonały w teatrze. Grał też w serialach.    ",Niemedyczny
"Dziś online, jutro w kioskach: * Czyje głosy cieszą Kreml? * Tajemnice Szpitala Narodowego * Chwin: na nucie obrony niepodległości można w Polsce wiele wygrać * Covidowe statystyki od czapy *  o Diego Maradonie * Wkurzeni górale naśnieżają stoki * Smog sprzyja pandemii  ",Niemedyczny
"Niemcy będą pomagać lubuskim szpitalom.. Marszałek Elżbieta Anna Polak poprosiła o wsparcie premierów Brandenburgii i Saksonii.   Marszałek podkreśla, że w celu zapewnienia bezpieczeństwa mieszkańcom regionu Lubuskie chętnie skorzysta z każdej oferty pomocy partnerów i przyjaciół  ",Niemedyczny
"Krakow Pilna informacja od RegionalneCentrumKrwiodawstwaiKrwiolecznictwa ""Obecna sytuacja w RCKiK jest kłopotliwa dla wszystkich. Utrudnienia w rejestracji, kontakcie i samym oddawaniu krwi pełnej, płytek czy osocza dotykają nas wszystkich...""   Więcej FB  i RCKIK  ",Medyczne
"Uważam nieszczepienie dzieci za dość niemądre posunięcie. Wiadomo, wszystko ma swoje negatywne skutki, jednak te dobre przewyższają te złe. Dzięki szczepionkom udało nam się wyeliminować większość chorób zakaźnych, nie musimy się obawiać epidemii. Skoro były i są nadal, to znaczy  ",Medyczne
"Nowe fakty ws. kontenerowych oddziałów w szpitalach na Mazowsze: .emu wojewoda wyznaje, że 26.08 zawnioskował o nie do . Nie dodał, że już 28.09 odmówił wnioskującym 36. szpitalom wz. z. ""ograniczonymi środkami"". Na co przez miesiąc poszła kasa na COVID19?  ",Niemedyczny
Wirusowe Zapalenia płuc(13 tys.zgonów)-nie zabijają jak grypa.Grypa masakruje.Nawet nie wiemy jak wielu ludzi umiera na powikłania po grypie.Nawet udary najczęściej są wynikiem przebytej grypy.Nikt o tym nie mówi.Tylko pieprzą o tym durniowirusie wytrzepanym z testów dla idiotów.  ,Medyczne
"A któż to przemawiał na marszu antymaseczkowców w Katowicach? Sam Hubert Czerniak, lekarz kwestionujący koniecznośc szczepień i zawieszony w prawie do wykonywania zawodu za propagowanie postaw antyzdrowotnych. ""Promotor alternatywnych form leczenia"", czyli znachor i hochsztapler.  ",Niemedyczny
"Ptasia grypa w Danii. Przebadane padłe dzikie ptactwo było zarażone typem A, H5N8. To samo dotyczy stada drobiu z Randers, które przebadano wczoraj. W jednym przypadku sokoła wędrownego ptak był zarażony wirusem podtypu H5N5. Oba typy wirusa ptasiej grypy nie zagrażają ludziom.  ",Medyczne
"Zaglądajcie na   po najnowszą recenzję   Rewelacyjne smaki prosto z Azji za naprawdę rozsądne ceny. I to Pho ze szpikiem! Na zdjęciu Ga Rang Muoi (19 pln), czyli kurczak smażony w soli i trawie cytrynowej  kulin…    ",Niemedyczny
"Leczenie COVID-19 osoczem ozdrowieńców  w GośćWiadomości:Terapia osoczem osób zdrowych, które mają przeciwciała, jest rzeczywiście formą terapii, którą można zastosować(...) na razie, niestety, w Polsce tych ozdrowieńców nie ma tak dużo wieszwiecej koronawirus  ",Medyczne-diagnoza
Dr Jaki podaje definicje praworządności... no taki z niego doktor jaka jego definicja. Doktorze Jaki to nie tylko art7- Idea praworządności jest podstawową zasadą państwa prawnego. Znajduje ona swoje odzwierciedlenie w każdej dziedzinie prawa i działa zawsze na korzyść obywatela.  ,Niemedyczny
"Pamiętaj:  - Zgłoś lekarzowi każde objawy, im szybciej tym lepiej - Unikaj leczenia na „własną rekę” - Chroń dzieci - Chroń dom - Nie wpuszczaj nikogo obcego, znajomego do domu  - Koronawirus może zarazić cię poprzez gotówkę, banknoty, paczki, listy, opakowania towarów w sklepach  ",Medyczne
"Znachor przypomina prawnikom i ich klientom, że koszt procesu jest dla strony wygrywającej neutralny, bo płaci go przegrywający. Jest to fundamentalna gwarancja systemu prawa art.98 Kpc. Gdy prawnik zagarnia to co zasądzi Sąd jako np. 50%-owy składnik wynagrodzenia to łamie prawo  ",Niemedyczny
"TW Foliarze porównują COVID19 do nowotworów i wypadków drogowych. Cynicznie podłe i świadczy o przeraźliwej głupocie. Od kiedy nowotwory są zakaźne? Byłoby cudnie gdyby ich liczba zależała od tego czy jakiś ""odważny"" chłystek założy maseczkę. O wypadkach drogowych nie wspomnę.  ",Medyczne
"Wirus nie odpuszcza, więc my też nie odpuszczamy wirusowi i pomagamy dalej! Przekazujemy kolejny milion złotych szpitalom, które najbardziej potrzebują pomocy. Do tej pory do szpitali przekazaliśmy już ponad 6 mln złotych. Sprawdź, gdzie trafiły pieniądze    ",Medyczne
"Kto ty jesteś?-Polak mały.Jaki znak twój?-Orzeł biały.Gdzie ty mieszkasz?-Miedzy swymi.W jakim kraju?-W polskiej ziemi.Czym ta ziemia?-Mą ojczyzną. Czym zdobyta?-Krwią i blizną.Czy ją kochasz?... Pozdrowienia!Wdzięczni przodkom, budujemy Polskę na miarę marzeń wszystkich pokoleń.  ",Niemedyczny
"My Mieszkańcy Śląska, reprezentujący różne zawody: profesorowie, doktorzy, samorządowcy, nauczyciele, muzycy, górnicy, ludzie ciężkiej pracy, tworzący Honorowy Komitet Poparcia Kandydata na Urząd Prezydenta Rzeczypospolitej Polskiej, Pana Andrzeja Dudy,... Pełny tekst w pliku jpg  ",Niemedyczny
 ŚrodaZProfilaktyką | Nowotwór piersi   Rak piersi to najczęściej występujący nowotwór złośliwy u kobiet.   Skuteczność leczenia zależy od wykrycia nowotworu we wczesnym stadium!  Kiedy zrobić badanie? PRZECZYTAJ     AkademiaNFZ RóżowyPaździernik  ,Medyczne
"Czytam ""Jak nie dać sobą manipulować?"" i dopiero zaczęłam, a opis manipulatora zgadza się z tyloma ludźmi, których spotkałam i– Przecież ludzie nie mogą być do szpiku kości aż tak źli, but–  Zaprzeczenie to jedna z reakcji obronnych osób za dużo myślących więc i tu I feel exposed  ",Niemedyczny
"Dyrektor techniczna WHO ds. COVID-19, ekspertka ds. chorób wirusowych i epidemii Maria van Kerkhove powiedziała w piątek podczas konferencji prasowej w Genewie, że przenoszenie wirusa między zwierzętami i ludźmi budzi niepokój - informuje PAP. Jak dodała, mutacje w wirusach  1/2  ",Remis-sporny
"64 LATA TEMU urodził się Artur Barciś, aktor, reżyser, związany z warszawskim Teatrem Ateneum; znany  . z ról w serialach „Miodowe lata”, „Ranczo” i „Doręczyciel”, wystąpił w filmach „Znachor”, „Kramarz”, „Braciszek”, a także w cyklu „Dekalog”  Kieślowskiego  ",Niemedyczny
"""Jezus przyszedł (...) by przebaczać i zbawiać (...) W sakramencie pokuty, dzięki «lekarstwu spowiedzi», doświadczenie grzechu nie przeradza się w rozpacz, lecz spotyka się z Miłością, która przebacza i przemienia"" - Benedykt XVI o Sakramencie Pokuty -&gt;    ",Niemedyczny
"Skoro chińska wirusolożka odkryła tys. zabójczych wirusów w jaskiniach nietoperzy to dlaczego ciągle wolno je jeść w Chinach! Może łatwiej byłoby zakazać jeść nietoperzy chińczykom niż uprzedzać świat,że to nie jest ostatnia pandemia i mamy się przygotować na więcej! koronawirus  ",Medyczne
"A my rakowi I tak pokażemy!jeśli pochodzi się z rodziny fighterowto się walczy!!!walczy tato  P.s proszę.. O modlitwy,miliony modlitw!szczere..Z serca za tatę     &lt;++&gt;EP&lt;&lt;&lt;HTERÅPMAS++??--!!&gt;&lt;333(""=""67432 &gt;~\&lt;€?!794@-6&amp;09 (91&gt;&gt;-9/^^&amp;&gt;Energy Power&lt;",Niemedyczny
" z Łukowa, którzy jako pierwsi z jednostki pokonali koronawirusa oddali osocze.  chcą w ten sposób pomóc innym, którzy nadal walczą z Covid-19. Jak powiedzieli, był to naturalny gest solidarności. Kolejni  ozdrowieńcy zadeklarowali taką chęć.     ",Remis-sporny
" Łopatologicznie. Jeżeli ciężej oddycha się w maseczce to i wirusowi jest trudniej. Jest odczuwalny dyskomfort, ciepło w miejscu, do którego nie jesteśmy przyzwyczajeni. Zdjęcie 2. mój monitor po ponad 24h w jednej maseczce. Bawiłem się oddechem..szybciej, wolniej, zawsze 98-99.  ",Medyczne
"POChP  przewlekła obturacyjna choroba płuc.  Większość pacjentów nie wie, że przyczyną kaszlu i duszności jest przewlekła choroba. Nierozpoznana lub późno rozpoznana POChP skraca życie chorych o 10-15 lat. Przeczytaj &gt;&gt;&gt;     ",Medyczne-diagnoza
"Swoim najcenniejszym darem - krwią, podzielili się w RCKiK w Lublinie , którzy przyjęci do służby złożyli wczoraj ślubowanie. Swoje pierwsze kroki w służbie, nowi policjanci z Wydziału Konwojowego KWP skierowali właśnie tam, by oddać krew potrzebującym    ",Medyczne
"Wyniki szczepień w ramach odpowiedzi na pandemię świńskiej grypy(2009-2010)szczepionką Pandemrix: Narkolepsja, zgony, anafilaksja, konwulsje. szczepionka                  ",Medyczne-diagnoza
"Narzekacie na polską służbę zdrowia? Szpitale w Hesji na krawędzi. To Niemcy 10 razy bogatsze od Polski. Wszystkie planowe zabiegi są odwoływane Z BRAKU PIENIĘDZY. Szpitale proszą rząd o pomoc finansową. Narzekajcie dalej, może poprawicie sobie humor.      ",Niemedyczny
"A my rakowi I tak pokażemy!jeśli pochodzi się z rodziny fighterowto się walczy!!!walczy tato  P.s proszę.. O modlitwy,miliony modlitw!szczere..Z serca za tatę     &lt;++&gt;EP&lt;&lt;&lt;HTERÅPMAS++??--!!&gt;&lt;333(""=""67432 &gt;~\&lt;€?!794@-6&amp;09...  ",Medyczne
"Uwaga,w brunatnej mordowni  odbywa się aktualnie losowanie tzw.zakażonych!Testy Szumowski&amp;Rodzina są niezawodne-wszyscy wymazani majo śfirusa!Oprawcy Narodu Polskiego z MZ-zajmijcie się lepiej zamkniętymi przychodniami-diagnostyka na raka leży-Polacy umierają!MORDERCY!!  ",Medyczne
"Dziś dod. wsp. Maryi Ostrej Bramy w   z rodzicami i też matki.Matka ma obrazek.Obraz mi się   kaplica.Obok,w środ.zniszczony Kośc. św. Teresy z Av.F2-4.O.Jerzy J Kopeć CP/Cz.St.Teo.XVI pojawia się współodkupicielka,każdej łaski itp  ",Niemedyczny
DziekujemyMedykom - za walkę z pandemią chińskiego wirusa! Polacy są Wam wdzięczni! IPPTV  Drodzy medycy z całego serca dziękuję Wam za walkę każdego dnia o zdrowie i życie Polaków zarażonych wirusem KPCh.    Pełny opis postu na FB:    ,Medyczne
"...(..)cierpiała na krwotok i wydała na lekarzy(..)mienie, a żaden nie mógł jej uleczyć;(..) dotknęła(..)jego szaty(..) Jezus zapytał: Kto mnie dotknął?(..)bo(..) moc wyszła ze mnie.  Wtedy kobieta,(..)go dotknęła i (..)natychmiast została uzdrowiona(..)..    ",Niemedyczny
"Masz opadające powieki i rozważasz ich korekcję? Do operacji należy dobrze się przygotować. Nasz chirurg udzieli Ci pełnych wskazówek przedoperacyjnych, szczególnie dotyczących jedzenia, picia alkoholu i palenia tytoniu, oraz stosowania lekarstw i witamin.    ",Medyczne
"Aktualizacja do   Oto cennik szpitala w Radomiu (ze strony). Za przywilej pracy w Polsce trzeba płacić. Myślę, że sprzeciw i zalecenie  nic nie da. To praktyka od lat.  Chyba powinienem się cieszyć, że nie muszę dopłacać szpitalowi do wynagrodzenia  ",Niemedyczny
"Naukowcom z GlattLaboratory w MCB  udało się uchwycić przy pracy specyficzny enzym regulujący prędkość produkcji białek. Daje to szansę na nowe leki przeciwko otyłości, astmie oskrzelowej, niepełnosprawności intelektualnej czy nowotworom     ",Medyczne
"Pomagamy Jackowi Gaworskiemu - szermierzowi, srebrnemu medaliście Igrzysk Paraolimpijskich, który walczy ze stwardnieniem rozsianym i nowotworem mnogim rdzenia.   Dziękuję wszystkim, którzy zaangażowali się w akcję. Macie wielkie serca ! Więcej o Jacku:     ",Remis-sporny
"64 LATA TEMU urodził się Artur Barciś, aktor, reżyser, związany z warszawskim Teatrem Ateneum; znany  . z ról w serialach „Miodowe lata”, „Ranczo” i „Doręczyciel”, wystąpił w filmach „Znachor”, „Kramarz”, „Braciszek”, a także w cyklu „Dekalog”  Kieślowskiego  ",Niemedyczny
"Język naszym skarbem świętym, Nie igraszką obojętną; Nie krwią, ale atramentem  Bije dzisiaj ludów tętno;  Musi naprzód iść z żywemi, A nie tępić życia zaród, Soków pełnię czerpać z ziemi: Jaki język-taki naród!!!   A painting by Marguerite Burnat-Provins     ",Niemedyczny
