,text,label
63,"#Krakow ‼️Pilna informacja od #RegionalneCentrumKrwiodawstwaiKrwiolecznictwa ""Obecna sytuacja w RCKiK jest kłopotliwa dla wszystkich. Utrudnienia w rejestracji, kontakcie i samym oddawaniu krwi pełnej, płytek czy osocza dotykają nas wszystkich...""   Więcej #FB @krakow_pl i #RCKIK  https://t.co/ZXl0Xr2Mh8",Medyczne
65,"Uważam nieszczepienie dzieci za dość niemądre posunięcie. Wiadomo, wszystko ma swoje negatywne skutki, jednak te dobre przewyższają te złe. Dzięki szczepionkom udało nam się wyeliminować większość chorób zakaźnych, nie musimy się obawiać epidemii. Skoro były i są nadal, to znaczy  https://t.co/L4e0mkDAvS",Medyczne
66,"Nowe fakty ws. kontenerowych oddziałów w szpitalach na #Mazowsze: @MKierwinski.emu wojewoda wyznaje, że 26.08 zawnioskował o nie do @MZ_GOV_PL. Nie dodał, że już 28.09 odmówił wnioskującym 36. szpitalom wz. z. ""ograniczonymi środkami"". Na co przez miesiąc poszła kasa na #COVID19?  https://t.co/Lp0wyek8aE",Niemedyczny
67,Wirusowe Zapalenia płuc(13 tys.zgonów)-nie zabijają jak grypa.Grypa masakruje.Nawet nie wiemy jak wielu ludzi umiera na powikłania po grypie.Nawet udary najczęściej są wynikiem przebytej grypy.Nikt o tym nie mówi.Tylko pieprzą o tym durniowirusie wytrzepanym z testów dla idiotów.  https://t.co/sZ9YLzZrTI,Medyczne
68,"A któż to przemawiał na marszu antymaseczkowców w Katowicach? Sam Hubert Czerniak, lekarz kwestionujący koniecznośc szczepień i zawieszony w prawie do wykonywania zawodu za propagowanie postaw antyzdrowotnych. ""Promotor alternatywnych form leczenia"", czyli znachor i hochsztapler.  https://t.co/9VWoCZh1tL",Niemedyczny
70,"⚠️Ptasia grypa w Danii. Przebadane padłe dzikie ptactwo było zarażone typem A, H5N8. To samo dotyczy stada drobiu z Randers, które przebadano wczoraj. W jednym przypadku sokoła wędrownego ptak był zarażony wirusem podtypu H5N5. Oba typy wirusa ptasiej grypy nie zagrażają ludziom.  https://t.co/jWkhsQ4sZm",Medyczne
71,"Zaglądajcie na  https://t.co/FOjqzyAFNz po najnowszą recenzję @vietnamkapoznanska  Rewelacyjne smaki prosto z Azji za naprawdę rozsądne ceny. I to Pho ze szpikiem! Na zdjęciu Ga Rang Muoi (19 pln), czyli kurczak smażony w soli i trawie cytrynowej  #kulin…  https://t.co/PgPTwJrdkO  https://t.co/MXSgvxUWh8",Niemedyczny
72,"Leczenie #COVID-19 osoczem ozdrowieńców @SzumowskiLukasz w #GośćWiadomości:Terapia osoczem osób zdrowych, które mają przeciwciała, jest rzeczywiście formą terapii, którą można zastosować(...) na razie, niestety, w Polsce tych ozdrowieńców nie ma tak dużo #wieszwiecej #koronawirus  https://t.co/qT0BYBLLIM",Medyczne-diagnoza
73,Dr Jaki podaje definicje praworządności... no taki z niego doktor jaka jego definicja. Doktorze Jaki to nie tylko art7- Idea praworządności jest podstawową zasadą państwa prawnego. Znajduje ona swoje odzwierciedlenie w każdej dziedzinie prawa i działa zawsze na korzyść obywatela.  https://t.co/fH173LJjVm,Niemedyczny
74,"Pamiętaj:  - Zgłoś lekarzowi każde objawy, im szybciej tym lepiej - Unikaj leczenia na „własną rekę” - Chroń dzieci - Chroń dom - Nie wpuszczaj nikogo obcego, znajomego do domu  - Koronawirus może zarazić cię poprzez gotówkę, banknoty, paczki, listy, opakowania towarów w sklepach  https://t.co/szTxctULO1",Medyczne
76,"Znachor przypomina prawnikom i ich klientom, że koszt procesu jest dla strony wygrywającej neutralny, bo płaci go przegrywający. Jest to fundamentalna gwarancja systemu prawa art.98 Kpc. Gdy prawnik zagarnia to co zasądzi Sąd jako np. 50%-owy składnik wynagrodzenia to łamie prawo  https://t.co/dtV079kD2T",Niemedyczny
79,"TW Foliarze porównują #COVID19 do nowotworów i wypadków drogowych.🤦🏻‍♂️ Cynicznie podłe i świadczy o przeraźliwej głupocie. Od kiedy nowotwory są zakaźne? Byłoby cudnie gdyby ich liczba zależała od tego czy jakiś ""odważny"" chłystek założy maseczkę. O wypadkach drogowych nie wspomnę.  https://t.co/WRf5BJv5Mo",Medyczne
80,"Wirus nie odpuszcza, więc my też nie odpuszczamy wirusowi i pomagamy dalej! Przekazujemy kolejny milion złotych szpitalom, które najbardziej potrzebują pomocy. Do tej pory do szpitali przekazaliśmy już ponad 6 mln złotych. Sprawdź, gdzie trafiły pieniądze  https://t.co/9M9jqHYQD3  https://t.co/HdxbHvYmtK",Medyczne
81,"Kto ty jesteś?-Polak mały.Jaki znak twój?-Orzeł biały.Gdzie ty mieszkasz?-Miedzy swymi.W jakim kraju?-W polskiej ziemi.Czym ta ziemia?-Mą ojczyzną. Czym zdobyta?-Krwią i blizną.Czy ją kochasz?... Pozdrowienia!Wdzięczni przodkom, budujemy Polskę na miarę marzeń wszystkich pokoleń.  https://t.co/VsO9jQ6cqM",Niemedyczny
82,"My Mieszkańcy Śląska, reprezentujący różne zawody: profesorowie, doktorzy, samorządowcy, nauczyciele, muzycy, górnicy, ludzie ciężkiej pracy, tworzący Honorowy Komitet Poparcia Kandydata na Urząd Prezydenta Rzeczypospolitej Polskiej, Pana Andrzeja Dudy,... Pełny tekst w pliku jpg  https://t.co/jnDTzEEUFW",Niemedyczny
84,🗓️ #ŚrodaZProfilaktyką | Nowotwór piersi  ⚠️ Rak piersi to najczęściej występujący nowotwór złośliwy u kobiet.  ➡️ Skuteczność leczenia zależy od wykrycia nowotworu we wczesnym stadium!  Kiedy zrobić badanie? PRZECZYTAJ ⤵️  https://t.co/9VlpQ0TUma  #AkademiaNFZ #RóżowyPaździernik  https://t.co/V958fdUumA,Medyczne
85,"Czytam ""Jak nie dać sobą manipulować?"" i dopiero zaczęłam, a opis manipulatora zgadza się z tyloma ludźmi, których spotkałam i– Przecież ludzie nie mogą być do szpiku kości aż tak źli, but–  Zaprzeczenie to jedna z reakcji obronnych osób za dużo myślących więc i tu I feel exposed  https://t.co/jnTH5bC1BX",Niemedyczny
87,"64 LATA TEMU urodził się Artur Barciś, aktor, reżyser, związany z warszawskim Teatrem Ateneum; znany  https://t.co/4rTk5OnW4w. z ról w serialach „Miodowe lata”, „Ranczo” i „Doręczyciel”, wystąpił w filmach „Znachor”, „Kramarz”, „Braciszek”, a także w cyklu „Dekalog”  Kieślowskiego  https://t.co/D0Dxd7g6Pk",Niemedyczny
88,"""Jezus przyszedł (...) by przebaczać i zbawiać (...) W sakramencie pokuty, dzięki «lekarstwu spowiedzi», doświadczenie grzechu nie przeradza się w rozpacz, lecz spotyka się z Miłością, która przebacza i przemienia"" - Benedykt XVI o Sakramencie Pokuty -&gt;  https://t.co/EA1Xcpzjtr  https://t.co/5AvVWAvbI8",Niemedyczny
89,"Skoro chińska wirusolożka odkryła tys. zabójczych wirusów w jaskiniach nietoperzy to dlaczego ciągle wolno je jeść w Chinach! Może łatwiej byłoby zakazać jeść nietoperzy chińczykom niż uprzedzać świat,że to nie jest ostatnia pandemia i mamy się przygotować na więcej! #koronawirus  https://t.co/aV3W8vmwDd",Medyczne
90,"A my rakowi I tak pokażemy!jeśli pochodzi się z rodziny fighterowto się walczy!!!walczy tato  P.s proszę.. O modlitwy,miliony modlitw!szczere..Z serca za tatę   https://t.co/HrP1wWtMjE  &lt;++&gt;EP&lt;&lt;&lt;HTERÅPMAS++??--!!&gt;&lt;#333###(""=""#67432 &gt;~\&lt;€?!794@-6&amp;09# (91&gt;&gt;-9/^^&amp;&gt;Energy Power&lt;",Niemedyczny
92,"@zsekrk Łopatologicznie. Jeżeli ciężej oddycha się w maseczce to i wirusowi jest trudniej. Jest odczuwalny dyskomfort, ciepło w miejscu, do którego nie jesteśmy przyzwyczajeni. Zdjęcie 2. mój monitor po ponad 24h w jednej maseczce. Bawiłem się oddechem..szybciej, wolniej, zawsze 98-99.  https://t.co/HsTnfEEUMo",Medyczne
93,"🗣POChP  przewlekła obturacyjna choroba płuc.  Większość pacjentów nie wie, że przyczyną kaszlu i duszności jest przewlekła choroba. Nierozpoznana lub późno rozpoznana POChP skraca życie chorych o 10-15 lat. Przeczytaj &gt;&gt;&gt; https://t.co/s4L2agINXq @NFZ_Centrala @Agniesz57481722  https://t.co/FRdwr5CPxU",Medyczne-diagnoza
94,"Swoim najcenniejszym darem - krwią, podzielili się w RCKiK w Lublinie 👮‍♂️👮‍♀️, którzy przyjęci do służby złożyli wczoraj ślubowanie. Swoje pierwsze kroki w służbie, nowi policjanci z Wydziału Konwojowego KWP skierowali właśnie tam, by oddać krew potrzebującym  https://t.co/tcB4p2oKh1  https://t.co/NplelPmmU1",Medyczne
95,"Wyniki szczepień w ramach odpowiedzi na pandemię świńskiej grypy(2009-2010)szczepionką Pandemrix: Narkolepsja, zgony, anafilaksja, konwulsje. #szczepionka    https://t.co/EaN7NFie4N   https://t.co/43UWO6AoOj   https://t.co/eXHWs5dUJJ   https://t.co/eLSaWrnHzB   https://t.co/2JJmiHhbrj  https://t.co/Vd8O5iEAeM",Medyczne-diagnoza
97,"Narzekacie na polską służbę zdrowia? Szpitale w Hesji na krawędzi. To #Niemcy 10 razy bogatsze od Polski. Wszystkie planowe zabiegi są odwoływane Z BRAKU PIENIĘDZY. Szpitale proszą rząd o pomoc finansową. Narzekajcie dalej, może poprawicie sobie humor. 🤦‍♂️   https://t.co/60elNx9sXv  https://t.co/MYOd7P2BrZ",Niemedyczny
98,"A my rakowi I tak pokażemy!jeśli pochodzi się z rodziny fighterowto się walczy!!!walczy tato  P.s proszę.. O modlitwy,miliony modlitw!szczere..Z serca za tatę   https://t.co/HrP1wWtMjE  &lt;++&gt;EP&lt;&lt;&lt;HTERÅPMAS++??--!!&gt;&lt;#333###(""=""#67432 &gt;~\&lt;€?!794@-6&amp;09#...  https://t.co/HrP1wWtMjE",Medyczne
100,"Uwaga,w brunatnej mordowni @MZ_GOV_PL odbywa się aktualnie losowanie tzw.zakażonych!Testy Szumowski&amp;Rodzina są niezawodne-wszyscy wymazani majo śfirusa!Oprawcy Narodu Polskiego z MZ-zajmijcie się lepiej zamkniętymi przychodniami-diagnostyka na raka leży-Polacy umierają!MORDERCY!!  https://t.co/OrtKwx6IQh",Medyczne
